metric,p10,p50,p90,mean,std,cv,n_years
annual_pv_kwh,3634.1237537553975,3672.7767363623234,3711.429718969249,3672.7767363623234,48.31622825865702,0.013155231511978999,2
annual_savings_tariffA_gbp,698.9329743236867,705.2548393271957,711.5767043307046,705.2548393271957,7.902331254386127,0.011204930209234512,2
annual_savings_tariffB_gbp,657.0399542611682,663.0150177371643,668.9900812131602,663.0150177371643,7.468829344995072,0.011264947467533688,2
annual_savings_tariffC_gbp,453.8393768407447,456.698957131615,459.55853742248524,456.698957131615,3.574475363587851,0.007826764891336793,2
