month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01,78.5383936207672,347.31971462443124,53.7176847987287,24.820708822038494,293.6020298257026
2020-02,159.43199244669918,318.82729770553993,80.27592118096511,79.15607126573407,238.5513765245748
2020-03,321.306452444128,321.93461870493644,120.30961666164731,200.99683578248067,201.6250020432891
2020-04,491.1650295130536,286.48165017460894,140.30906642382084,350.8559630892327,146.17258375078808
2020-05,647.872728884296,270.8388839573466,158.4947869465373,489.3779419377587,112.34409701080932
2020-06,504.8162144437096,243.53856321666495,142.62210619231516,362.1941082513944,100.9164570243498
2020-07,481.03161613008956,244.90767363237526,140.23544469606682,340.79617143402277,104.67222893630843
2020-08,401.7674535119544,252.67124375003556,128.54886245960176,273.2185910523526,124.1223812904338
2020-09,347.73095862961117,262.5797780736254,111.72427582447449,236.0066828051367,150.8555022491509
2020-10,152.56694900054399,297.3377001904143,83.46517245365852,69.10177654688545,213.87252773675576
2020-11,100.0631759363272,312.58275518915286,58.181368685100516,41.881807251226675,254.40138650405234
2020-12,66.15864358885679,340.98012078086833,47.52757710088015,18.631066487976643,293.4525436799882
