month,load_kwh,grid_import_kwh,exported_kwh,baseline_bill_tariffA_gbp,bill_with_pv_tariffA_gbp,savings_tariffA_gbp,load_peak_kwh,load_offpeak_kwh,import_peak_kwh,import_offpeak_kwh,baseline_bill_tariffB_gbp,bill_with_pv_tariffB_gbp,savings_tariffB_gbp,baseline_bill_tariffC_gbp,bill_with_pv_tariffC_gbp,savings_tariffC_gbp,baseline_bill_gbp,bill_with_pv_gbp,savings_gbp
2005-01,9.762909822371132,8.29414674023818,0.7741196378670409,0.0,0.0,0.0,0.2259916013301493,9.536918221040981,0.2259916013301493,8.06815513890803,0.0,0.0,0.0,0.0,-0.038705981893352046,0.038705981893352046,,,
2005-02,8.657708473658655,6.854214796216334,1.066703922557668,0.0,0.0,0.0,0.2006307737700645,8.457077699888591,0.2006307737700645,6.653584022446268,0.0,0.0,0.0,0.0,-0.0533351961278834,0.0533351961278834,,,
2005-03,9.131746382852349,6.31142143224783,2.9829540893954642,0.0,0.0,0.0,0.2117871000005187,8.919959282851831,0.2117871000005187,6.099634332247311,0.0,0.0,0.0,0.0,-0.1491477044697732,0.1491477044697732,,,
2005-04,8.240108960945063,4.613577811882541,6.4268452109374525,0.0,0.0,0.0,0.1908668391512607,8.049242121793803,0.1908668391512607,4.42271097273128,0.0,0.0,0.0,0.0,-0.32134226054687265,0.32134226054687265,,,
2005-05,7.879119398004941,3.518128209524079,8.809187851519107,0.0,0.0,0.0,0.18256071901230939,7.6965586789926315,0.18256071901230939,3.3355674905117696,0.0,0.0,0.0,0.0,-0.4404593925759554,0.4404593925759554,,,
2005-06,7.166746418089072,3.069913613223491,10.849899355134388,0.0,0.0,0.0,0.1661710527813287,7.000575365307743,0.1661710527813287,2.9037425604421627,0.0,0.0,0.0,0.0,-0.5424949677567195,0.5424949677567195,,,
2005-07,7.242492598250102,3.06859915232606,8.910048474075927,0.0,0.0,0.0,0.167647758565755,7.0748448396843475,0.167647758565755,2.900951393760305,0.0,0.0,0.0,0.0,-0.44550242370379634,0.44550242370379634,,,
2005-08,7.39640069665416,3.568023914251988,9.2276468175978,0.0,0.0,0.0,0.1715391017239285,7.224861594930232,0.1715391017239285,3.3964848125280596,0.0,0.0,0.0,0.0,-0.46138234087989,0.46138234087989,,,
2005-09,7.605255472154364,4.46388583105481,5.920990998900423,0.0,0.0,0.0,0.1763443617219924,7.428911110432372,0.1763443617219924,4.287541469332818,0.0,0.0,0.0,0.0,-0.29604954994502114,0.29604954994502114,,,
2005-10,8.504008952426526,6.02337547630378,2.7717900438772363,0.0,0.0,0.0,0.1968523626247053,8.30715658980182,0.1968523626247053,5.826523113679075,0.0,0.0,0.0,0.0,-0.13858950219386182,0.13858950219386182,,,
2005-11,8.826433763652524,7.0474453731460365,1.497576889493499,0.0,0.0,0.0,0.2046520843921755,8.62178167926035,0.2046520843921755,6.84279328875386,0.0,0.0,0.0,0.0,-0.07487884447467495,0.07487884447467495,,,
2005-12,9.587069060940669,8.179102355505561,0.4333801745648839,0.0,0.0,0.0,0.2221341391713333,9.364934921769336,0.2221341391713333,7.956968216334229,0.0,0.0,0.0,0.0,-0.021669008728244198,0.021669008728244198,,,
