month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2023-01,99.5033392725304,312.1140247149177,56.88855297271671,42.61478629981367,255.22547174220102
2023-02,148.383586681488,277.04943990955434,69.78741450470268,78.5961721767853,207.26202540485164
2023-03,252.5789355221304,292.2204608889732,101.57742372905558,151.0015117930748,190.64303715991764
2023-04,401.7736418073152,263.9415654358973,127.13773470989672,274.63590709741845,136.8038307260006
2023-05,563.7009614911888,251.8850014192075,146.1115060195754,417.5894554716134,105.7734953996321
2023-06,595.5422527008016,229.33870095541403,136.79162616691053,458.7506265338911,92.5470747885035
2023-07,457.00787684824877,231.75984541550312,136.1564704753213,320.8514063729275,95.60337494018184
2023-08,449.348243753752,236.68212697588956,126.61304229254152,322.73520146121047,110.06908468334802
2023-09,305.8147743993112,243.61426394397716,102.0004431187084,203.81433128060277,141.61382082526876
2023-10,192.54822588689998,271.871047123664,82.40252313011791,110.14570275678206,189.4685239935461
2023-11,107.3432097552512,282.4412719846385,56.97437901381487,50.36883074143632,225.46689297082364
2023-12,50.91545998474879,307.08225123236326,39.73912892248016,11.176331062268625,267.3431223098831
