month,model_pv_kwh,pvgis_pv_kwh,abs_error_kwh,pct_error
2020-01,86.83116897007599,66.64464,20.186528970075997,30.289801205432273
2020-02,149.4853729509536,126.08508,23.4002929509536,18.559129241107353
2020-03,312.8150183557512,284.632,28.183018355751187,9.901563547229822
2020-04,493.08098966352236,461.96688,31.114109663522356,6.735138602040553
2020-05,658.80517367236,624.05244,34.75273367235991,5.568880344792804
2020-06,512.4018824779664,477.98912,34.412762477966396,7.199486565293871
2020-07,523.4812787347528,488.7668,34.71447873475279,7.1024625107009705
2020-08,420.10220637125997,387.181,32.921206371259984,8.50279491278239
2020-09,358.2889135221584,328.43948,29.849433522158392,9.088259889510967
2020-10,178.3734111534104,153.97092,24.40249115341038,15.848766217289851
2020-11,108.9361205730832,87.21208,21.7240405730832,24.909439808204553
2020-12,72.5573085770792,53.24072,19.316588577079195,36.28160659187027
