year,annual_generation_kWh,self_consumption_kWh,export_kWh,import_kWh,annual_pv_kwh,annual_savings_tariffA_gbp,npv_tariffA_gbp,payback_tariffA_years,annual_savings_tariffB_gbp,npv_tariffB_gbp,payback_tariffB_years,annual_savings_tariffC_gbp,npv_tariffC_gbp,payback_tariffC_years
2022,3923.826319503293,1209.9468178730833,2713.8795016302092,1990.053182126916,3923.826319503293,745.8670342489949,926.4006230804772,9.0,701.5526774437237,467.7785603031125,10.0,474.479084085974,-1776.6074945096238,15.0
2023,3728.865375734343,1194.3793417230947,2534.486034011248,2005.620658276905,3728.865375734343,714.5991207841539,610.5116107876047,10.0,671.0057884479461,159.78014947530028,11.0,461.1505173830291,-1912.6530226904656,
