month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01,82.46531330180555,310.8768438694751,51.71161350962534,30.753699792180214,259.1652303598498
2020-02,167.40359206903415,286.10803589879345,76.09626651737553,91.30732555165862,210.01176938141793
2020-03,337.3717750663344,291.01945579704994,112.17391948803588,225.19785557829852,178.84553630901408
2020-04,515.7232809887063,261.9592621399922,130.79167103342866,384.9316099552776,131.16759110656352
2020-05,680.2663653285108,251.01234326038045,149.21803469508,531.0483306334309,101.79430856530043
2020-06,530.0570251658951,228.30426913759666,135.8710131592036,394.18601200669144,92.43325597839303
2020-07,505.0831969365941,230.61534505537804,134.4472045957683,370.63599234082574,96.16814045960973
2020-08,421.8558261875521,236.77415389486288,122.9606397794588,298.8951864080933,113.81351411540409
2020-09,365.1175065610918,243.2270890409657,105.6214076147743,259.4960989463175,137.60568142619138
2020-10,160.1952964505712,271.7425667998187,80.15212090940139,80.0431755411698,191.5904458904173
2020-11,105.06633473314356,282.452204118408,55.45702136224935,49.6093133708942,226.99518275615864
2020-12,69.46657576829963,305.9084309872785,45.79964798785803,23.666927780441608,260.1087829994205
