month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01,75.12268698259103,302.8688565536067,48.97397208051599,26.148714902075035,253.8948844730907
2020-02,152.12741421321022,279.6378950923697,72.65130397183746,79.47611024137275,206.98659112053227
2020-03,305.5183033285248,287.0341094103735,109.04535544933697,196.4729478791878,177.98875396103654
2020-04,465.15334030180315,261.99908477275665,129.1860663154896,335.96727398631356,132.81301845726702
2020-05,612.502713917785,255.07864281897903,149.66523429853547,462.83747961924945,105.41340852044355
2020-06,478.23787711364827,235.0735205456035,137.50040092279954,340.7374761908487,97.57311962280393
2020-07,456.34145695136635,238.6559137331247,136.2765642873754,320.064892663991,102.3793494457493
2020-08,381.4243437032592,243.68742719126152,123.85541733635587,257.56892636690327,119.83200985490565
2020-09,330.38300486588736,247.0124725379513,105.4911658928648,224.89183897302254,141.5213066450865
2020-10,145.69584957282814,271.6116990489241,77.65412256111391,68.04172701171423,193.9575764878102
2020-11,95.6354865316003,278.44648379705984,53.28096141391825,42.35452511768205,225.16552238314156
2020-12,63.315622276921914,298.89389449798904,43.41748676623359,19.89813551068832,255.47640773175544
