month,model_pv_kwh,pvgis_pv_kwh,abs_error_kwh,pct_error
2020-01,100.650124995814,75.95555,24.694574995813994,32.51187700676777
2020-02,191.174015922419,161.63645,29.53756592241899,18.27407488992674
2020-03,388.005323114416,353.5582,34.447123114416,9.742985204250955
2020-04,596.634820133041,558.7534,37.88142013304093,6.779631252899925
2020-05,806.738575592999,765.04705,41.69152559299903,5.44953746217295
2020-06,620.597167195437,578.421,42.17616719543696,7.291603727291532
2020-07,614.04851550543,571.8515,42.197015505430045,7.37901631899716
2020-08,516.788218828963,476.56645,40.22176882896298,8.439907767104247
2020-09,437.44806987841497,401.53605,35.91201987841498,8.943660196491694
2020-10,209.098252456934,178.60115,30.497102456934016,17.07553532378376
2020-11,125.02402648740099,98.57585,26.448176487400985,26.83027991886551
2020-12,83.12457125303199,58.71785,24.40672125303199,41.566101710181805
