month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2022-01,47.8577779705472,312.4131143158774,36.428975989587016,11.428801980960174,275.98413832629035
2022-02,108.45935982380239,277.046671157078,56.55022645062848,51.90913337317391,220.49644470644952
2022-03,297.0460082185768,292.21588425127635,103.45619381492881,193.58981440364798,188.75969043634757
2022-04,381.5391683645736,263.68348675024316,125.11742770963795,256.42174065493566,138.5660590406052
2022-05,422.7058011434704,252.13182073615926,140.058392690513,282.6474084529574,112.07342804564627
2022-06,477.2448586250576,229.33588537885143,138.38206711465395,338.8627915104036,90.95381826419748
2022-07,472.335584506528,231.75976314400444,137.8849747492088,334.45060975731917,93.87478839479562
2022-08,411.8288042651024,236.68482229293429,124.18622127043612,287.64258299466627,112.49860102249815
2022-09,274.925956660956,243.36817510894076,98.7292312438938,176.19672541706217,144.63894386504694
2022-10,133.79353825924798,272.12828647764997,69.89145805697734,63.90208020227064,202.23682842067265
2022-11,67.48938914109999,282.4458804368819,45.139415070160176,22.349974070939812,237.30646536672174
2022-12,42.13428221903279,306.78620995010266,32.951066233551295,9.1832159854815,273.83514371655133
