year,annual_generation_kWh,self_consumption_kWh,export_kWh,import_kWh,annual_savings_gbp,annual_savings_basis,npv_gbp,payback_years
2017,3438.118821882894,1162.514653799818,2275.604168083075,2037.4853462001818,666.8447282764105,A,127.67157096199615,11.0
2018,3741.0687451441772,1182.9704556813554,2558.0982894628223,2017.0295443186442,714.9464710102029,A,613.0252851428145,10.0
2019,3554.709712964308,1188.5860236682213,2366.1236892960865,2011.4139763317785,687.722640021515,A,339.0671326840338,10.0
2020,3751.46534509144,1191.0448046790234,2560.4205404124173,2008.9551953209761,717.5556263719893,A,640.3811877166427,10.0
2021,3521.558208793268,1174.8761311331368,2346.6820776601307,2025.1238688668632,680.9676283662981,A,270.71158400349714,10.0
2022,3721.0929646209797,1192.2555837571906,2528.8373808637893,2007.7444162428092,713.1571705815818,A,596.3116141236828,10.0
2023,3624.460508103666,1182.1802450558416,2442.2802630478245,2017.819754944158,697.3525080728095,A,436.3037888066492,10.0
