month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2023-01,111.94125668159668,312.1140247149177,59.03100612490628,52.91025055669041,253.08301859001145
2023-02,166.931535016674,277.04943990955434,72.34859619027681,94.58293882639718,204.70084371927751
2023-03,284.1513024623967,292.2204608889732,104.86406445078502,179.28723801161166,187.35639643818817
2023-04,451.99534703322956,263.9415654358973,129.72211497494703,322.27323205828253,134.2194504609503
2023-05,634.1635816775873,251.8850014192075,148.08194729973184,486.08163437785555,103.80305411947566
2023-06,669.9850342884018,229.33870095541403,138.8306463951292,531.1543878932725,90.5080545602848
2023-07,514.1338614542799,231.75984541550312,138.51223484019047,375.6216266140894,93.24761057531263
2023-08,505.516774222971,236.68212697588956,128.77545142115835,376.74132280181266,107.90667555473121
2023-09,344.0416211992251,243.61426394397716,104.49458611455262,239.54703508467247,139.11967782942455
2023-10,216.6167541227625,271.871047123664,85.12182040770602,131.49493371505645,186.749226715958
2023-11,120.7611109746576,282.4412719846385,59.39735483911477,61.363756135542815,223.04391714552375
2023-12,57.27989248284239,307.08225123236326,42.52837583024917,14.751516652593219,264.5538754021141
