date,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01-01,1.3147673725439994,9.677161466167743,1.1981536015941439,0.1166137709498557,8.479007864573598
2020-01-02,1.1609614279679996,9.681279151425816,1.1538594103024484,0.0071020176655511,8.527419741123367
2020-01-03,2.9853037927036796,9.685096731642343,1.632331952199648,1.352971840504031,8.052764779442695
2020-01-04,1.3598026967039998,9.979756708834106,1.3598026967039998,0.0,8.619954012130107
2020-01-05,2.4339523038259196,9.98306736213603,2.1686283696422293,0.2653239341836906,7.8144389924938
2020-01-06,1.1001234097919999,9.694737991217524,0.8893338942086231,0.2107895155833767,8.8054040970089
2020-01-07,1.164277268736,9.697344747348932,1.0404993664588882,0.12377790227711151,8.656845380890044
2020-01-08,2.4261916848787193,9.69964664437049,1.3991651291437324,1.027026555734987,8.300481515226759
2020-01-09,1.921832406528,9.701643001113837,1.3609609076298912,0.5608714988981085,8.340682093483945
2020-01-10,3.4197531381158397,9.703333226824888,1.732649661084112,1.6871034770317275,7.970683565740777
2020-01-11,1.7969767534079997,9.996344371896427,1.7958365224930082,0.0011402309149914,8.200507849403419
2020-01-12,3.3074439512284797,9.997453276319277,2.340038721750281,0.9674052294781987,7.6574145545689944
2020-01-13,1.6610674060799997,9.706562569921172,1.4056928793283707,0.2553745267516287,8.300869690592801
2020-01-14,1.0393746885119999,9.70702417780319,1.0393746885119999,0.0,8.66764948929119
2020-01-15,3.3818790572102393,9.707178062276162,1.6737520663957035,1.7081269908145353,8.033425995880458
2020-01-16,1.1750399059199998,9.70702417780319,1.1690902666174232,0.0059496393025764,8.537933911185766
2020-01-17,2.24765339107296,9.706562569921172,1.2699575354563708,0.9776958556165889,8.436605034464801
2020-01-18,4.72221953848608,9.997453276319277,2.7200572278664765,2.002162310619603,7.2773960484527995
2020-01-19,5.15354207560224,9.996344371896427,2.7222622084276256,2.4312798671746134,7.274082163468801
2020-01-20,5.043557475773759,9.703333226824888,2.0131895366384027,3.030367939135356,7.690143690186487
2020-01-21,4.800944076719039,9.701643001113837,1.9656641853793844,2.835279891339655,7.735978815734452
2020-01-22,1.9589516962559996,9.69964664437049,1.453977004907348,0.5049746913486517,8.245669639463143
2020-01-23,1.105685741184,9.697344747348932,1.105685741184,0.0,8.591659006164933
2020-01-24,1.7302564838399996,9.694737991217524,1.1724588241065228,0.5577976597334768,8.522279167111
2020-01-25,1.1151683681279994,9.98306736213603,1.1151683681279994,0.0,8.86789899400803
2020-01-26,1.6642435553279993,9.979756708834106,1.6642435553279993,0.0,8.315513153506107
2020-01-27,2.56145636352,9.685096731642343,2.0256057394439693,0.5358506240760306,7.659490992198374
2020-01-28,3.59619237855552,9.681279151425816,2.140418921626963,1.4557734569285563,7.540860229798852
2020-01-29,5.682967292311679,9.677161466167743,2.216161519371142,3.466805772940537,7.4609999467966
2020-01-30,2.6305435622399997,9.672744894357438,1.6984950802175824,0.9320484820224171,7.974249814139855
2020-01-31,2.2404218678755194,9.668030742929558,1.7196597519508683,0.5207621159246509,7.948370990978689
2020-02-01,5.31214063924128,9.953394976700043,2.85863046774283,2.4535101714984497,7.094764508957213
2020-02-02,3.876601183872,9.947930521826706,2.7411222350094815,1.1354789488625179,7.206808286817225
2020-02-03,3.916448256,9.652117198663205,1.9738757804098543,1.942572475590145,7.67824141825335
2020-02-04,4.70887599566016,9.646227552935994,2.2515758623974076,2.4573001332627515,7.394651690538586
2020-02-05,5.82953106885792,9.640048174499155,2.1592468634683435,3.670284205389576,7.4808013110308105
2020-02-06,7.462832176441919,9.633580891930187,2.4813246092110326,4.981507567230887,7.152256282719154
2020-02-07,5.52283456651296,9.626827619002047,1.9398269798259584,3.5830075866870006,7.687000639176089
2020-02-08,7.4648567200272,9.908865857245567,3.249549578588437,4.215307141438762,6.659316278657131
2020-02-09,2.26192012993248,9.901326741041466,1.9206044004588718,0.3413157294736079,7.980722340582594
2020-02-10,4.346010719510399,9.604872261656421,2.354849746185217,1.9911609733251827,7.250022515471205
2020-02-11,6.80866693569024,9.596995848584763,2.6074122669604822,4.201254668729757,6.989583581624279
2020-02-12,7.48771647062304,9.588844271256855,2.4780339403783125,5.009682530244728,7.110810330878543
2020-02-13,6.1796375427936,9.58041994185558,2.3335034336562352,3.846134109137364,7.2469165081993445
2020-02-14,4.60540003023264,9.57172535327554,2.254090721253892,2.3513093089787476,7.3176346320216465
