month,load_kwh,grid_import_kwh,exported_kwh,baseline_bill_tariffA_gbp,bill_with_pv_tariffA_gbp,savings_tariffA_gbp,load_peak_kwh,load_offpeak_kwh,import_peak_kwh,import_offpeak_kwh,baseline_bill_tariffB_gbp,bill_with_pv_tariffB_gbp,savings_tariffB_gbp,baseline_bill_tariffC_gbp,bill_with_pv_tariffC_gbp,savings_tariffC_gbp,baseline_bill_gbp,bill_with_pv_gbp,savings_gbp
2020-01,310.8768438694751,271.47180898546054,14.557803457240594,87.04551628345304,73.82843599734288,13.21708028611016,55.602953978785195,255.27388989068996,55.554999621985196,215.91680936347535,75.6212896685266,64.7622774090733,10.859012259453294,87.04551628345304,75.28421634306693,11.76129994038611,,,
2020-02,286.10803589879345,219.7508687142999,65.56244823694884,80.11025005166218,51.69587600446166,28.414374047200518,50.99346161031946,235.11457428847402,44.81194544219384,174.93892327210608,69.57291790707609,44.33637678908886,25.23654111798723,80.11025005166218,58.25212082815654,21.858129223505635,,,
2020-03,291.01945579704994,185.48428049079467,149.6937408136927,81.485447623174,29.48153741536861,52.00391020780539,51.93973161117214,239.0797241858778,32.79213442835268,152.692146062442,70.77644538480337,22.61545806160677,48.16098732319659,81.485447623174,44.45091149673788,37.034536126436116,,,
2020-04,261.9592621399922,133.909827027767,297.6645436545748,73.34859339919781,-7.154929980411453,80.50352337960926,46.825922401316596,215.13333973867557,14.394660204691446,119.51516682307553,63.718407582969434,-13.318213775467594,77.03662135843703,73.34859339919781,22.611524385046025,50.737069014151785,,,
2020-05,251.01234326038045,104.25577586060393,425.1694927069483,70.28345611290653,-34.58380666507314,104.86726277797968,44.70359319896033,206.3087500614201,6.256659526090024,97.99911633451391,61.03418263314853,-40.02578747831767,101.0599701114662,70.28345611290653,7.93314260562169,62.350313507284845,,,
2020-06,228.30426913759666,96.57213194125416,312.7012576179143,63.92519535852707,-19.864991699135977,83.79018705766305,40.81269771961674,187.4915714179799,8.664602494569717,87.90752944668444,55.53258991382144,-24.532921291317166,80.0655112051386,63.92519535852707,11.405134062655451,52.52006129587162,,,
2020-07,230.61534505537804,93.86619740670672,355.48717942003987,64.57229661550586,-27.040541639128094,91.61283825463396,41.24810823821875,189.3672368171593,5.53772350927268,88.32847389743404,56.097629983151606,-31.95260942732505,88.05023941047665,64.57229661550586,8.508176302875889,56.064120312629974,,,
2020-08,236.77415389486288,115.68202117793065,241.40282420741494,66.29676309056161,-3.819457701291654,70.11622079185327,42.16730673535963,194.60684715950325,10.121014748702256,105.5610064292284,57.57206373246659,-9.444647054636203,67.0167107871028,66.29676309056161,20.32082471944984,45.97593837111177,,,
2020-09,243.2270890409657,143.8436997219101,171.39643157879001,68.1035849314704,14.56677118531633,53.53681374615407,43.477670615349254,199.74941842561643,24.826664917187408,119.01703480472268,59.16205676900785,9.163615641236081,49.99844112777177,68.1035849314704,31.706414343195327,36.39717058827507,,,
2020-10,271.7425667998187,198.17633245629554,72.52250539966644,76.08791870394924,44.61099727781279,31.47692142613645,48.49930890015826,223.24325789966045,43.16732495461525,155.0090075016803,66.08827485298069,38.33216957453504,27.756105278445652,76.08791870394924,51.86324781777944,24.224670886169804,,,
2020-11,282.452204118408,235.6086280872514,29.974430325693767,79.08661715315425,61.474251315576325,17.612365837577926,50.37664245663859,232.0755616617694,50.36932186143859,185.23930622581278,68.68844842541277,53.88574547232825,14.80270295308452,79.08661715315425,64.4716943481457,14.614922805008547,,,
2020-12,305.9084309872785,273.68124237325446,7.748806656532734,85.65436067643799,75.46842686603135,10.185933810406638,54.71436611222707,251.19406487505145,54.71436611222707,218.96687626102738,74.4127224117908,66.16041991822559,8.25230249356521,85.65436067643799,76.24330753168462,9.411053144753367,,,
