month,load_kwh,grid_import_kwh,exported_kwh,baseline_bill_tariffA_gbp,bill_with_pv_tariffA_gbp,savings_tariffA_gbp,load_peak_kwh,load_offpeak_kwh,import_peak_kwh,import_offpeak_kwh,baseline_bill_tariffB_gbp,bill_with_pv_tariffB_gbp,savings_tariffB_gbp,baseline_bill_tariffC_gbp,bill_with_pv_tariffC_gbp,savings_tariffC_gbp,baseline_bill_gbp,bill_with_pv_gbp,savings_gbp
2023-01,312.1140247149177,255.22547174220102,42.61478629981367,87.39192692017697,65.07091414284425,22.321012777332726,55.704368440382275,256.40965627453545,55.375137719388675,199.85033402281235,75.9066533345316,56.9561537418327,18.950499592698897,87.39192692017697,69.33239277282561,18.059534147351357,,,
2023-02,277.04943990955434,207.26202540485164,78.5961721767853,77.57384317467522,46.24394128684067,31.329901887834545,49.4618962786909,227.58754363086342,41.973010628168694,165.28901477668293,67.38092329633177,39.26471114421149,28.116212152120283,77.57384317467522,54.1035585045192,23.47028467015602,,,
2023-03,292.2204608889732,190.64303715991764,151.0015117930748,81.8217290489125,30.729823635815727,51.091905413096775,52.26443409141688,239.95602679755632,35.416947977735546,155.22608918218208,71.08287782745829,23.89544464332628,47.18743318413201,81.8217290489125,45.82997481512321,35.991754233789294,,,
2023-04,263.9415654358973,136.8038307260006,274.63590709741845,73.90363832205125,-2.890313461332596,76.79395178338385,46.97142659836646,216.97013883753084,17.957846954817704,118.84598377118289,64.17342985368505,-8.764023200766339,72.9374530544514,73.90363832205125,24.573277248409248,49.330361073642,,,
2023-05,251.8850014192075,105.7734953996321,417.5894554716134,70.5278003973781,-33.02183960884501,103.54964000622311,45.05408231499773,206.83091910420976,6.278557078321073,99.49493832131103,61.271731013175355,-38.5520369126412,99.82376792581655,70.5278003973781,8.737105938316319,61.79069445906178,,,
2023-06,229.33870095541403,92.5470747885035,458.7506265338911,64.21483626751593,-42.89941303930269,107.11424930681862,40.9943816206588,188.34431933475523,4.95679880601094,87.59027598249256,55.78378382087673,-47.807853681831475,103.59163750270821,64.21483626751593,2.975649614086425,61.23918665342951,,,
2023-07,231.75984541550312,95.60337494018184,320.8514063729275,64.89275671634088,-21.358765972688204,86.25152268902909,41.27355384983369,190.48629156566943,4.93161350019236,90.67176143998948,56.35272799188907,-26.453858714074112,82.80658670596318,64.89275671634088,10.726374664604542,54.16638205173634,,,
2023-08,236.68212697588956,110.06908468334802,322.73520146121047,66.27099555324908,-17.590936507844116,83.8619320610932,42.33317055419227,194.3489564216973,8.737955033715377,101.33112964963264,57.5733801067407,-23.059147434462,80.6325275412027,66.27099555324908,14.682583638276924,51.588411914972156,,,
2023-09,243.61426394397716,141.61382082526876,203.81433128060277,68.21199390431362,9.079720138984847,59.13227376532877,43.4519114250631,200.16235251891408,24.465056950322648,117.14876387494611,59.243886552933176,3.763348293010658,55.48053825992252,68.21199390431362,29.46115326704512,38.750840637268496,,,
2023-10,271.871047123664,189.4685239935461,110.14570275678206,76.12389319462594,36.52933130467561,39.59456188995033,48.521689400303835,223.34935772336019,42.12204399496881,147.34647999857728,66.11944998924558,30.63708558440878,35.4823644048368,76.12389319462594,47.54390158035381,28.579991614272124,,,
2023-11,282.4412719846385,225.46689297082364,50.36883074143632,79.08355615569879,55.575405420615176,23.50815073508361,50.4890920095437,231.95217997509482,50.270460842035696,175.19643212878796,68.70066179786116,48.5825517518304,20.118110046030758,79.08355615569879,60.61228849475881,18.47126766093998,,,
2023-12,307.08225123236326,267.3431223098831,11.176331062268625,85.98303034506172,73.17962458742699,12.803405757634735,54.6878329126472,252.39441831971607,54.6878329126472,212.6552893972359,74.66751354976405,64.24845552747813,10.419058022285924,85.98303034506172,74.29725769365385,11.685772651407873,,,
