month,load_kwh,grid_import_kwh,exported_kwh,baseline_bill_tariffA_gbp,bill_with_pv_tariffA_gbp,savings_tariffA_gbp,load_peak_kwh,load_offpeak_kwh,import_peak_kwh,import_offpeak_kwh,baseline_bill_tariffB_gbp,bill_with_pv_tariffB_gbp,savings_tariffB_gbp,baseline_bill_gbp,bill_with_pv_gbp,savings_gbp
2020-01,298.86451270133773,250.36766051968786,26.38859289861657,83.68206355637457,66.14465601072011,17.53740754565446,53.45454072365497,245.40997197768274,53.17766579127577,197.1899947284121,72.69928308836944,58.03569293240469,14.663590155964748,,,
2020-02,276.40254174582066,204.41774014585195,80.0317493375817,77.39271168882979,45.2322048402013,32.16050684862849,49.26392898751863,227.13861275830203,42.186974708691224,162.23076543716073,67.21286995245796,38.45144714358003,28.76142280887793,,,
2020-03,285.0412619353248,176.6750604845149,197.99576483312606,79.81155334189096,19.769652210695263,60.041901131195694,50.872697101908464,234.16856483341638,31.562526009227213,145.11253447528767,69.32252824901957,13.272276962823902,56.05025128619567,,,
2020-04,262.0189978306077,132.90162524218013,339.20277183099563,73.36531939257016,-13.667960706838905,87.03328009940907,46.836920674043746,215.18207715656393,15.7974540652693,117.10417117691082,63.732979210359375,-19.588389192884705,83.32136840324408,,,
2020-05,257.1119704201221,106.47124897112678,467.09839213835676,71.99135171763419,-40.25280910883801,112.2441608264722,45.78959350472265,211.32237691539942,5.903911996942547,100.56733697418424,62.517280648040796,-45.87357548750309,108.39085613554388,,,
2020-06,238.45844227323937,99.40765654864832,342.28560479150417,66.76836383650704,-23.508696885104094,90.27706072161112,42.62729524990405,195.83114702333532,7.77070979951426,91.63694674913407,58.00240568260019,-28.46296400408614,86.46536968668633,,,
2020-07,242.67654969113633,104.59145218711636,320.5729550851352,67.94943391351818,-18.800336650377695,86.74977056389588,43.4052698602204,199.27127983091592,9.521512904336484,95.06993928277988,59.03152601387864,-23.838027104040933,82.86955311791957,,,
2020-08,247.1443661612613,121.97652954543094,257.9127585932425,69.20042252515317,-4.533485516265699,73.73390804141887,44.01403770143331,203.13032845982798,15.028315459997183,106.94821408543376,60.09358545666381,-9.898396279191928,69.99198173585575,,,
2020-09,248.90532982365136,142.81464665565704,225.46674250210012,69.69349235062239,6.168089688268957,63.525402662353436,44.49293943424001,204.41239038941134,25.810189084986234,117.00445757067081,60.543254687654496,0.954535469977742,59.588719217676754,,,
2020-10,271.54625945054755,194.02668489168,67.95123727886043,76.03295264615332,44.134786177841335,31.898166468311985,48.46419057160241,223.08206887894517,42.938728121179224,151.08795677050077,66.04052185342877,38.07521974009383,27.965302113334943,,,
2020-11,276.44344846371024,223.49535791538776,42.46098418166391,77.40416556983888,56.20955258905899,21.194612980779894,49.30527840670309,227.13817005700716,49.23114275935029,174.26421515603747,67.22724485488766,49.19987967285125,18.027365182036405,,,
2020-12,295.3863195032406,252.35566977392475,20.05084764610575,82.70816946090737,67.65196038978307,15.0562090711243,52.83247481515349,242.55384468808708,52.83247481515349,199.52319495877126,71.85321201668287,59.37884192931753,12.474370087365344,,,
