month,model_pv_kwh,pvgis_pv_kwh,abs_error_kwh,pct_error
2020-01,80.5200999966512,60.76444,19.755659996651197,32.51187700676777
2020-02,152.93921273793518,129.30916,23.630052737935188,18.274074889926737
2020-03,310.4042584915328,282.84656,27.55769849153279,9.742985204250951
2020-04,477.3078561064328,447.00272,30.30513610643277,6.7796312528999305
2020-05,645.3908604743992,612.03764,33.35322047439922,5.449537462172951
2020-06,496.4777337563496,462.7368,33.74093375634959,7.291603727291538
2020-07,491.238812404344,457.4812,33.757612404344,7.379016318997152
2020-08,413.4305750631704,381.25316,32.17741506317043,8.439907767104259
2020-09,349.958455902732,321.22884,28.729615902732007,8.9436601964917
2020-10,167.27860196554718,142.88092,24.39768196554718,17.075535323783736
2020-11,100.0192211899208,78.86068,21.158541189920797,26.830279918865518
2020-12,66.4996570024256,46.97428,19.525377002425593,41.56610171018181
