month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01,75.12268698259103,302.86885655360675,48.973972080516,26.14871490207504,253.8948844730907
2020-02,152.12741421321024,279.6378950923698,72.65130397183748,79.47611024137275,206.9865911205323
2020-03,305.5183033285248,287.0341094103735,109.04535544933697,196.4729478791878,177.98875396103656
2020-04,465.15334030180315,261.99908477275665,129.1860663154896,335.96727398631356,132.81301845726705
2020-05,612.502713917785,255.07864281897903,149.6652342985355,462.83747961924945,105.41340852044357
2020-06,478.23787711364827,235.07352054560351,137.50040092279957,340.7374761908487,97.57311962280394
2020-07,456.34145695136635,238.65591373312472,136.2765642873754,320.064892663991,102.37934944574931
2020-08,381.4243437032592,243.68742719126155,123.85541733635588,257.56892636690327,119.83200985490566
2020-09,330.38300486588736,247.0124725379513,105.4911658928648,224.89183897302254,141.52130664508653
2020-10,145.69584957282817,271.61169904892415,77.65412256111392,68.04172701171424,193.95757648781023
2020-11,95.6354865316003,278.44648379705984,53.280961413918256,42.35452511768206,225.16552238314156
2020-12,63.315622276921914,298.89389449798904,43.417486766233594,19.89813551068832,255.47640773175544
