month,load_kwh,grid_import_kwh,exported_kwh,baseline_bill_tariffA_gbp,bill_with_pv_tariffA_gbp,savings_tariffA_gbp,load_peak_kwh,load_offpeak_kwh,import_peak_kwh,import_offpeak_kwh,baseline_bill_tariffB_gbp,bill_with_pv_tariffB_gbp,savings_tariffB_gbp,baseline_bill_tariffC_gbp,bill_with_pv_tariffC_gbp,savings_tariffC_gbp,baseline_bill_gbp,bill_with_pv_gbp,savings_gbp
2022-01,312.4131143158774,255.2057423911136,40.434198186997016,87.47567200844568,65.39247814146226,22.08319386698342,55.63789822781084,256.77521608806654,55.424700099810835,199.78104229130278,75.96381191910842,57.28534461097085,18.67846730813757,87.47567200844568,69.43589796016197,18.039774048283718,,,
2022-02,277.046671157078,203.03676466977225,91.64769998420303,77.57306792398184,43.10313910990578,34.469928814076056,49.46250635746804,227.58416479960997,43.78433497822928,159.25242969154294,67.380393481028,36.612896776889244,30.76749670413875,77.57306792398184,52.26790910832609,25.30515881565575,,,
2022-03,292.21588425127635,182.37619898884245,213.48254375318527,81.82044759035739,19.0429541538981,62.77749343645929,52.26544563333768,239.9504386179387,33.79009717623078,148.58610181261167,71.0820024676147,12.49309484747755,58.58890762013715,81.82044759035739,40.39120852921663,41.42923906114076,,,
2022-04,263.68348675024316,133.9507655114854,328.1458668750222,73.83137629006809,-11.715665688037411,85.54704197810551,47.0287724708921,216.65471427935105,17.974956628853874,115.97580888263153,64.12410750626947,-17.415967256975534,81.540074763245,73.83137629006809,21.098920999464806,52.73245529060328,,,
2022-05,252.13182073615926,111.9385561462042,383.0071717229473,70.5969098061246,-26.108280037504915,96.70518984362951,44.99922884665028,207.13259188950897,10.137263808604933,101.80129233759928,61.31890031201957,-31.506749111158527,92.8256494231781,70.5969098061246,12.192437134789813,58.40447267133479,,,
2022-06,229.33588537885143,91.54213362836005,456.861858476491,64.2140479060784,-42.89748135553284,107.11152926161125,40.99500299784722,188.3408823810042,4.256568207319656,87.2855654210404,55.783245173067456,-47.83665550628289,103.61990067935034,64.2140479060784,2.7887044921162634,61.42534341396214,,,
2022-07,231.75976314400444,93.27774165398112,461.43397100155187,64.89273368032124,-43.097327987118064,107.9900616674393,41.27356778762647,190.48619535637798,4.903953766222766,88.37378788775835,56.35271170407242,-48.05647849674798,104.4091902008204,64.89273368032124,3.0460691130371202,61.84666456728412,,,
2022-08,236.68482229293429,109.13520373574978,381.08314116312187,66.27175024202161,-26.604614128458337,92.87636437047995,42.332567149238386,194.35225514369588,8.85513295567616,100.28007078007363,57.57389463384653,-32.001559068365424,89.57545370221195,66.27175024202161,11.50369998785385,54.76805025416776,,,
2022-09,243.36817510894076,139.1856086043847,210.49340601490474,68.14308903050342,7.397959506992006,60.74512952351141,43.50659326270516,199.8615818462356,25.504676487055832,113.68093211732888,59.19685564811864,2.362430934046184,56.834424714072455,68.14308903050342,28.44730010848248,39.69578892202094,,,
2022-10,272.12828647764997,184.1474664545932,144.3059662983352,76.195920213742,29.915395662535825,46.28052455120617,48.46451999778851,223.6637664798615,41.79276010767233,142.35470634692086,66.1686106247955,24.299606489257624,41.86900413553788,76.195920213742,44.345992292369345,31.849927921372654,,,
2022-11,282.4458804368819,224.20938948030783,47.93393578662912,79.08484652232694,55.58853868649184,23.496307835835104,50.48806260527787,231.95781783160405,50.354344507677865,173.85504497262997,68.70154183480014,48.682040103671476,20.019501731128663,79.08484652232694,60.381932265154745,18.702914257172196,,,
2022-12,306.78620995010266,259.48145292819936,27.926006903775892,85.90013878602875,68.46590578432944,17.43423300169931,54.753614107428106,252.03259584267454,54.753614107428106,204.72783882077124,74.61093602298823,60.01498844260313,14.595947580385094,85.90013878602875,71.25850647470703,14.641632311321715,,,
