month,load_kwh,grid_import_kwh,exported_kwh,baseline_bill_tariffA_gbp,bill_with_pv_tariffA_gbp,savings_tariffA_gbp,load_peak_kwh,load_offpeak_kwh,import_peak_kwh,import_offpeak_kwh,baseline_bill_tariffB_gbp,bill_with_pv_tariffB_gbp,savings_tariffB_gbp,baseline_bill_tariffC_gbp,bill_with_pv_tariffC_gbp,savings_tariffC_gbp,baseline_bill_gbp,bill_with_pv_gbp,savings_gbp
2018-01,311.8441432670816,259.25094728029984,33.45676110544137,87.31636011478287,67.57175107266777,19.7446090421151,55.77603739414284,256.0681058729388,55.51414237629564,203.73680490400417,75.85659637999653,59.233532744768176,16.623063635228355,87.31636011478287,72.59026523848397,14.726094876298902,,,
2018-02,277.07802512571504,201.65127297527053,89.16210826380266,77.58184703520023,43.08804019350536,34.49380684169487,49.46592685810971,227.61209826760535,43.207229680315116,158.4440432949554,67.38773601921157,36.605903673430085,30.78183234578149,77.58184703520023,56.462356433075755,21.119490602124472,,,
2018-03,292.5243984558041,189.46999362488268,124.51760566840338,81.90683156762515,34.373957364706655,47.53287420291849,52.20785261097603,240.31654584482806,36.3478473191097,153.122146305773,71.14238849970378,27.73097789869794,43.41141060100584,81.90683156762515,53.05159821496716,28.85523335265799,,,
2018-04,263.70079401609377,143.97281867209117,228.44134161074777,73.83622232450627,6.046187986573365,67.7900343379329,47.03480891430261,216.66598510179116,21.441482427754384,122.53133624433677,64.12869984239997,0.19521158185595766,63.93348826054401,73.83622232450627,40.31238922818553,33.523833096320736,,,
2018-05,251.91319581806312,107.94569864442126,444.41173914354215,70.53569482905768,-36.436965251093355,106.97266008015103,45.05726459871707,206.85593121934605,7.37759925168421,100.56809939273705,61.2783474778071,-41.95461926703969,103.23296674484679,70.53569482905768,30.224795620437956,40.310899208619716,,,
2018-06,229.58667881025204,89.45148791267682,478.37032253722,64.28427006687058,-46.709131765033476,110.99340183190405,40.94787495423366,188.63880385601837,3.866484086512027,85.5850038261648,55.83229308230582,-51.57357810854753,107.40587119085335,64.28427006687058,25.046416615549514,39.23785345132106,,,
2018-07,231.55805590256077,90.89342342674554,458.88618671152796,64.83625565271701,-43.382769447240435,108.21902509995745,41.32707190840866,190.23098399415213,3.5739724270196382,87.31945099972592,56.3152916466565,-48.371758437332616,104.6870500839891,64.83625565271701,25.450158559488756,39.38609709322826,,,
2018-08,236.70163336348,112.41855887991751,314.95996409575827,66.2764573417744,-15.766798127986828,82.04325546976123,42.33771312700809,194.36392023647193,10.887497114869701,101.53106176504781,57.57826204647665,-21.096537035848822,78.67479908232548,66.2764573417744,31.477196486376908,34.79926085539749,,,
2018-09,243.88254805590364,136.47346960303076,254.6760074992751,68.28711345565303,0.011170363957354823,68.27594309169567,43.401418736303505,200.48112931960011,24.10997228692952,112.36349731610123,59.29634500801825,-5.042941414923661,64.33928642294191,68.28711345565303,38.21257148884862,30.07454196680441,,,
2018-10,271.6398452012102,186.65766818930288,143.07853178709982,76.05915665633887,30.802367324939837,45.256789331399034,48.58325491829266,223.0565902829176,42.19149379407545,144.46617439522743,66.07658908364431,25.087801426811467,40.98878765683284,76.05915665633887,52.26414709300481,23.795009563334062,,,
2018-11,282.4630169847235,223.25407289602035,51.45914100042567,79.08964475572259,54.792269260821854,24.297375494900734,50.4948507439557,231.96816624076774,50.414399051155705,172.83967384486462,68.7061943333534,47.95089676371086,20.755297569642536,79.08964475572259,62.5111404108857,16.578504344836887,,,
2018-12,307.10766499911193,258.221552457365,24.942804327793876,85.99014619975135,68.56061403889312,17.42953216085823,54.69368107996193,252.41398391915,54.69368107996193,203.5278713774031,74.67386484019967,60.17749943184628,14.496365408353391,85.99014619975135,72.30203468806221,13.688111511689144,,,
