date,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2018-01-01,1.3189704338599997,9.959992527869755,1.270855227146671,0.0481152067133286,8.689137300723084
2018-01-02,1.2772216795423996,9.96515535178653,1.0766109330002007,0.2006107465421989,8.888544418786328
2018-01-03,2.8638709346575997,9.969941898890257,1.7932544750447266,1.0706164596128727,8.17668742384553
2018-01-04,2.7625180145871995,9.974350752764641,1.7312288431376754,1.031289171449524,8.243121909626966
2018-01-05,3.2307741918416,9.97838060875889,1.7487327135677955,1.4820414782738043,8.229647895191095
2018-01-06,3.6831255485663994,10.28199111734328,2.3004055312477893,1.3827200173186098,7.981585586095489
2018-01-07,4.0419791988704,10.285357728133842,2.4855954002703546,1.5563837986000448,7.799762327863487
2018-01-08,0.8345534255999999,9.988184827310432,0.8345534255999999,0.0,9.153631401710431
2018-01-09,1.5068318949095998,9.990687893400962,1.2271332982878707,0.2796985966217289,8.76355459511309
2018-01-10,3.3663274586807996,9.992807127188602,1.6261362642989214,1.740191194381878,8.36667086288968
2018-01-11,1.3488630783999997,9.994541901557978,1.3025203108185264,0.0463427675814733,8.69202159073945
2018-01-12,1.2094498543999999,9.995891703161448,1.2094498543999999,0.0,8.786441848761447
2018-01-13,1.8214246847999997,10.297262493816872,1.7522242156779224,0.0692004691220773,8.54503827813895
2018-01-14,1.6705360335999997,10.297858657783992,1.653839764308107,0.0166962692918926,8.644018893475884
2018-01-15,1.5674871871999998,9.997627847369913,1.2510419540099929,0.3164452331900066,8.746585893359919
2018-01-16,4.5028546243375995,9.997434904396453,2.093565252937657,2.4092893713999426,7.903869651458796
2018-01-17,4.674603091572,9.996856132570999,2.0606253679469035,2.613977723625096,7.936230764624095
2018-01-18,3.9444461819767995,9.995891703161448,1.9793824217661475,1.965063760210652,8.0165092813953
2018-01-19,5.3309097440472,9.994541901557978,2.1206987674185576,3.210210976628642,7.87384313413942
2018-01-20,1.3675456495999998,10.293091815484754,1.2219988692047405,0.1455467803952594,9.071092946280013
2018-01-21,1.2453246511999998,10.290908898544899,1.2453246511999998,0.0,9.045584247344898
2018-01-22,3.7185481588456,9.988184827310432,1.7095738506730647,2.008974308172535,8.278610976637367
2018-01-23,2.5026445135999995,9.98529866961454,1.7905549067278912,0.7120896068721083,8.194743762886649
2018-01-24,1.0910564751999996,9.982030274373782,1.0910564751999996,0.0,8.890973799173782
2018-01-25,5.5439483441455994,9.97838060875889,2.1858018824052907,3.3581464617403087,7.792578726353599
2018-01-26,4.2127258775952,9.974350752764641,1.8828202285800755,2.3299056490151244,8.091530524184567
2018-01-27,2.2126498303999997,10.269539485167426,1.8543081359248064,0.35834169447519315,8.415231349242621
2018-01-28,2.7090220848,10.264609101923687,2.373843112307762,0.3351789724922374,7.890765989615925
2018-01-29,1.9427172272,9.959992527869755,1.6617645646487695,0.2809526625512301,8.298227963220985
2018-01-30,5.528403794609599,9.954454954902593,2.2298127713968,3.298591023212799,7.724642183505792
2018-01-31,3.0186232235776,9.948544271541975,1.828482517626795,1.1901407059508045,8.120061753915179
2018-02-01,4.874168993624799,9.9422622268542,2.298298860057571,2.575870133567229,7.643963366796631
2018-02-02,2.8936909168,9.935610679797362,2.1020811563066113,0.7916097604933886,7.833529523490752
2018-02-03,2.6374832255999996,10.226946604975225,2.4304988320511365,0.20698439354886308,7.796447772924088
2018-02-04,3.0412672888703995,10.219340160851461,2.2774188941743954,0.7638483946960046,7.941921266677066
2018-02-05,3.033509913224,9.91345925059192,2.005593114331276,1.0279167988927231,7.907866136260643
2018-02-06,6.5302704582576,9.905350461543962,2.4618040885725234,4.068466369685076,7.443546372971438
2018-02-07,6.771178869823201,9.896883092912148,2.6178476512293507,4.153331218593849,7.2790354416827965
2018-02-08,6.631169478584,9.88805965032708,2.5215734197548487,4.10959605882915,7.366486230572232
2018-02-09,3.2193158623016,9.87888274478738,2.0420375590604163,1.177278303241183,7.836845185726963
2018-02-10,3.8169465201576,10.165930036217535,3.076444046023819,0.7405024741337802,7.089485990193715
2018-02-11,6.5178029392888,10.155757693312687,3.287550888757279,3.230252050531521,6.868206804555409
2018-02-12,8.3830774209456,9.849258924505024,2.6381825873700553,5.744894833575544,7.211076337134969
2018-02-13,3.7223182543999997,9.838696356802597,1.938917184537168,1.7834010698628318,7.899779172265429
2018-02-14,3.7915873328,9.827794933538268,2.3992822767576363,1.392305056042363,7.428512656780632
2018-02-15,8.6720112452976,9.816557880618568,2.818984937714943,5.853026307582656,6.997572942903625
2018-02-16,9.4719060268952,9.804988523268245,2.813363234718211,6.658542792176989,6.9916252885500345
2018-02-17,9.5897123866416,10.08737346556519,3.6924163197866733,5.897296066854925,6.394957145778515
2018-02-18,6.318993669432801,10.074782547205027,3.2883415769346005,3.0306520924981997,6.7864409702704265
2018-02-19,1.9230408399999996,9.768321345787077,1.9014373939666416,0.021603446033357798,7.866883951820435
2018-02-20,3.1329566079999998,9.75545797427748,2.2416213178212456,0.891335290178754,7.513836656456233
2018-02-21,6.3593008347152,9.742280378782548,2.7924387475594266,3.5668620871557737,6.949841631223121
2018-02-22,6.3932404072272,9.728792458764792,2.647785591541784,3.7454548156854157,7.081006867223008
2018-02-23,4.1498846608,9.714998205516752,2.727967164802298,1.4219174959977012,6.987031040714454
2018-02-24,11.6053897557912,9.992414606852405,3.853472430084282,7.751917325706917,6.138942176768122
2018-02-25,11.7821586525248,9.97758746394513,3.86813439445004,7.91402425807476,6.109453069495088
2018-02-26,6.0483182849896,9.671818711776256,2.663326384454619,3.3849919005349802,7.008492327321636
2018-02-27,5.5802713854328,9.656840833233897,2.908998145541771,2.6712732398910286,6.747842687692126
2018-02-28,7.697888181821599,9.641577913104836,3.110933952083905,4.586954229737694,6.530643961020932
2018-03-01,3.3332463424,9.626034467932694,2.46328608839722,0.8699602540027797,7.162748379535474
2018-03-02,2.346297064,9.610215097272969,2.1691295751620085,0.1771674888379912,7.441085522110959
2018-03-03,3.3090311504,9.882428723871136,2.976903916218308,0.3321272341816917,6.905524807652828
2018-03-04,6.7400952343656,9.865580093967882,3.7740985061665877,2.9659967281990123,6.091481587801295
2018-03-05,9.090887086232799,9.561148644349897,2.8998133761385416,6.191073710094257,6.6613352682113565
2018-03-06,6.0425185946984,9.544273179389862,3.134361918140484,2.9081566765579154,6.409911261249378
2018-03-07,8.5502695176392,9.527145983422933,2.7542555891326326,5.796013928506567,6.772890394290301
2018-03-08,8.7787892067728,9.509772124661954,3.437331798863051,5.341457407909749,6.072440325798902
2018-03-09,5.234099842742399,9.492156744311242,2.8945326776103197,2.3395671651320797,6.597624066700923
2018-03-10,4.259716292799999,9.759008712792856,3.3868582365335445,0.8728580562664552,6.3721504762593115
2018-03-11,5.8026486912,9.740382610101083,3.5960663680056237,2.206582323194376,6.144316242095459
2018-03-12,3.7244377760000003,9.437913948540078,2.8338418607694327,0.8905959152305669,6.604072087770645
2018-03-13,6.817648066685599,9.419385300014785,3.4206776370906478,3.3969704295949517,5.998707662924138
2018-03-14,13.0911516756064,9.400641876815362,3.5156308901232234,9.575520785483176,5.885010986692138
2018-03-15,5.3263223488,9.381689225422283,3.0502475986508,2.2760747501492,6.331441626771483
2018-03-16,12.5616455572384,9.362532954230016,3.6476057605827763,8.914039796655622,5.714927193647239
2018-03-17,3.007163926399999,9.623942032678675,2.95447086085967,0.0526930655403293,6.669471171819005
2018-03-18,3.2720093199999996,9.603808214069566,3.16401774779914,0.1079915722008596,6.439790466270426
2018-03-19,8.3774392665872,9.303899399536366,3.5200211061374262,4.857418160449773,5.783878293398939
