month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01,89.32677436079999,310.8768438694751,52.71156286542126,36.61521149537874,258.1652810040539
2020-02,155.83319640420478,286.10803589879345,75.05563878289516,80.77755762130963,211.0523971158983
2020-03,331.3065502444768,291.01945579704994,114.2466510196694,217.05989922480737,176.77280477738057
2020-04,511.43946584168077,261.9592621399922,131.65439227567438,379.7850735660064,130.30486986431782
2020-05,684.4900192855664,251.01234326038045,148.38078775256145,536.109231533005,102.63155550781899
2020-06,515.4361128210336,228.30426913759666,134.00476821984884,381.4313446011847,94.2995009177478
2020-07,527.4472579610256,230.61534505537804,134.5940620926608,392.85319586836476,96.02128296271722
2020-08,426.7947737778656,236.77415389486288,123.65223869543269,303.1425350824329,113.1219151994302
2020-09,360.0287541136304,243.2270890409657,104.68497262724881,255.34378148638157,138.54211641371688
2020-10,159.143277568956,271.7425667998187,78.67060217326744,80.47267539568854,193.07196462655125
2020-11,109.85808442259119,282.452204118408,59.655397219426625,50.20268720316456,222.79680689898137
2020-12,71.6004085080768,305.9084309872785,47.34007573474212,24.260332773334664,258.5683552525364
