timestamp,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01-01 00:10:00+00:00,0.0,0.2320655914541942,0.0,0.0,0.2320655914541942
2020-01-01 01:10:00+00:00,0.0,0.1989133641035951,0.0,0.0,0.1989133641035951
2020-01-01 02:10:00+00:00,0.0,0.1823372504282954,0.0,0.0,0.1823372504282954
2020-01-01 03:10:00+00:00,0.0,0.1823372504282954,0.0,0.0,0.1823372504282954
2020-01-01 04:10:00+00:00,0.0,0.1989133641035951,0.0,0.0,0.1989133641035951
2020-01-01 05:10:00+00:00,0.0,0.281793932480093,0.0,0.0,0.281793932480093
2020-01-01 06:10:00+00:00,0.0,0.4144028418824897,0.0,0.0,0.4144028418824897
2020-01-01 07:10:00+00:00,0.0,0.5967400923107852,0.0,0.0,0.5967400923107852
2020-01-01 08:10:00+00:00,0.0,0.646468433336684,0.0,0.0,0.646468433336684
2020-01-01 09:10:00+00:00,0.1337026175999999,0.4972834102589876,0.1337026175999999,0.0,0.3635807926589877
2020-01-01 10:10:00+00:00,0.2659885055999999,0.3646745008565909,0.2659885055999999,0.0,0.098685995256591
2020-01-01 11:10:00+00:00,0.2329349903999999,0.281793932480093,0.2329349903999999,0.0,0.048858942080093
2020-01-01 12:10:00+00:00,0.225137336,0.2320655914541942,0.225137336,0.0,0.0069282554541942
2020-01-01 13:10:00+00:00,0.1549808064,0.2320655914541942,0.1549808064,0.0,0.0770847850541942
2020-01-01 14:10:00+00:00,0.110824416,0.2652178188047934,0.110824416,0.0,0.1543934028047934
2020-01-01 15:10:00+00:00,0.0627525488,0.3149461598306922,0.0627525488,0.0,0.2521936110306922
2020-01-01 16:10:00+00:00,0.0,0.4144028418824897,0.0,0.0,0.4144028418824897
2020-01-01 17:10:00+00:00,0.0,0.6298923196613845,0.0,0.0,0.6298923196613845
2020-01-01 18:10:00+00:00,0.0,0.762501229063781,0.0,0.0,0.762501229063781
2020-01-01 19:10:00+00:00,0.0,0.8122295700896799,0.0,0.0,0.8122295700896799
2020-01-01 20:10:00+00:00,0.0,0.762501229063781,0.0,0.0,0.762501229063781
2020-01-01 21:10:00+00:00,0.0,0.6298923196613845,0.0,0.0,0.6298923196613845
2020-01-01 22:10:00+00:00,0.0,0.480707296583688,0.0,0.0,0.480707296583688
2020-01-01 23:10:00+00:00,0.0,0.3149461598306922,0.0,0.0,0.3149461598306922
2020-01-02 00:10:00+00:00,0.0,0.2321858840932165,0.0,0.0,0.2321858840932165
2020-01-02 01:10:00+00:00,0.0,0.1990164720798999,0.0,0.0,0.1990164720798999
2020-01-02 02:10:00+00:00,0.0,0.1824317660732416,0.0,0.0,0.1824317660732416
2020-01-02 03:10:00+00:00,0.0,0.1824317660732416,0.0,0.0,0.1824317660732416
2020-01-02 04:10:00+00:00,0.0,0.1990164720798999,0.0,0.0,0.1990164720798999
2020-01-02 05:10:00+00:00,0.0,0.2819400021131916,0.0,0.0,0.2819400021131916
2020-01-02 06:10:00+00:00,0.0,0.4146176501664582,0.0,0.0,0.4146176501664582
2020-01-02 07:10:00+00:00,0.0,0.5970494162396998,0.0,0.0,0.5970494162396998
2020-01-02 08:10:00+00:00,0.0,0.6468035342596749,0.0,0.0,0.6468035342596749
2020-01-02 09:10:00+00:00,0.1686711808,0.4975411801997498,0.1686711808,0.0,0.3288699993997498
2020-01-02 10:10:00+00:00,0.2628380159999999,0.3648635321464832,0.2628380159999999,0.0,0.1020255161464832
2020-01-02 11:10:00+00:00,0.3877575568,0.2819400021131916,0.2819400021131916,0.1058175546868084,0.0
2020-01-02 12:10:00+00:00,0.3188368128,0.2321858840932165,0.2321858840932165,0.0866509287067834,0.0
2020-01-02 13:10:00+00:00,0.235544712,0.2321858840932165,0.2321858840932165,0.0033588279067834,0.0
2020-01-02 14:10:00+00:00,0.109292928,0.2653552961065332,0.109292928,0.0,0.1560623681065332
2020-01-02 15:10:00+00:00,0.0256081168,0.3151094141265082,0.0256081168,0.0,0.2895012973265082
2020-01-02 16:10:00+00:00,0.0,0.4146176501664582,0.0,0.0,0.4146176501664582
2020-01-02 17:10:00+00:00,0.0,0.6302188282530164,0.0,0.0,0.6302188282530164
2020-01-02 18:10:00+00:00,0.0,0.7628964763062831,0.0,0.0,0.7628964763062831
2020-01-02 19:10:00+00:00,0.0,0.812650594326258,0.0,0.0,0.812650594326258
2020-01-02 20:10:00+00:00,0.0,0.7628964763062831,0.0,0.0,0.7628964763062831
2020-01-02 21:10:00+00:00,0.0,0.6302188282530164,0.0,0.0,0.6302188282530164
2020-01-02 22:10:00+00:00,0.0,0.4809564741930914,0.0,0.0,0.4809564741930914
2020-01-02 23:10:00+00:00,0.0,0.3151094141265082,0.0,0.0,0.3151094141265082
2020-01-03 00:10:00+00:00,0.0,0.2322974095669096,0.0,0.0,0.2322974095669096
2020-01-03 01:10:00+00:00,0.0,0.1991120653430653,0.0,0.0,0.1991120653430653
2020-01-03 02:10:00+00:00,0.0,0.1825193932311432,0.0,0.0,0.1825193932311432
2020-01-03 03:10:00+00:00,0.0,0.1825193932311432,0.0,0.0,0.1825193932311432
2020-01-03 04:10:00+00:00,0.0,0.1991120653430653,0.0,0.0,0.1991120653430653
