month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2005-01,109.93606389083199,312.4131143158774,49.83762374552505,60.09844014530694,262.5754905703523
2005-02,138.068401437068,277.046671157078,62.54490928824957,75.52349214881842,214.50176186882842
2005-03,229.92555066996198,292.21588425127635,96.54358224987035,133.38196842009162,195.67230200140602
2005-04,364.962694423898,263.68348675024316,121.22858788571321,243.73410653818476,142.45489886452995
2005-05,498.390824749758,252.13182073615926,142.14255963817553,356.24826511158244,109.98926109798373
2005-06,468.577569039996,229.33588537885143,135.21564799049122,333.36192104950476,94.1202373883602
2005-07,470.659515968228,231.75976314400444,140.63243858910275,330.0270773791252,91.12732455490169
2005-08,464.65127175646,236.68482229293429,126.37353579158521,338.27773596487475,110.31128650134906
2005-09,353.581795390506,243.36817510894076,104.93295985701398,248.648835533492,138.43521525192676
2005-10,201.064674461614,272.12828647764997,80.92533772982503,120.13933673178896,191.20294874782496
2005-11,167.254939752498,282.4458804368819,57.501668212362105,109.75327154013588,224.9442122245198
2005-12,125.942342630526,306.78620995010266,51.90175499093447,74.04058763959152,254.88445495916818
