year,annual_generation_kWh,self_consumption_kWh,export_kWh,import_kWh,annual_pv_kwh,annual_savings_tariffA_gbp,npv_tariffA_gbp,payback_tariffA_years,annual_savings_tariffB_gbp,npv_tariffB_gbp,payback_tariffB_years,annual_savings_tariffC_gbp,npv_tariffC_gbp,payback_tariffC_years
2019,3206.821956510458,1124.5662653490542,2082.255691161404,2075.433734650946,3206.821956510458,627.2169079719457,-273.29346291322827,11.0,587.2592192295633,-685.9022369251202,12.0,418.99133885580534,-2344.090378482246,
2020,3271.5786498319276,1127.6971857564706,2143.881464075457,2072.302814243529,3271.5786498319276,637.3374316231304,-170.608333262403,11.0,598.2951454261256,-573.9427309754024,12.0,422.9492852155847,-2302.8622453506377,
2021,3279.5398849517087,1128.3729605417795,2151.1669244099294,2071.6270394582207,3279.5398849517087,638.6194676131877,-157.66591910642092,11.0,599.8014263896694,-558.5849609369302,12.0,423.5027751721948,-2297.2306073335108,
2022,3327.373658130391,1131.799774606176,2195.573883524215,2068.2002253938235,3327.373658130391,646.2400194183616,-81.04078860051231,11.0,606.406374750047,-492.3931217020481,12.0,426.68263106594014,-2265.405872936064,
2023,3284.404639925956,1134.6289363956244,2149.775703530331,2065.371063604375,3284.404639925956,640.1624577203247,-142.1232064644696,11.0,600.408582382953,-552.5849560028346,12.0,425.1848873672916,-2280.2827357301258,
