month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01,93.9430481062487,302.8688565536067,52.96810897041501,40.97493913583369,249.9007475831917
2020-02,163.62705685595597,279.6378950923697,74.92997606010113,88.69708079585483,204.70791903226862
2020-03,346.3872432418042,287.0341094103735,114.20615707556642,232.18108616623772,172.8279523348071
2020-04,532.5895992132387,261.99908477275665,132.57019531844188,400.0194038947968,129.42888945431474
2020-05,711.4124513977262,255.07864281897903,151.33697510541876,560.0754762923074,103.74166771356028
2020-06,536.8518761076599,235.0735205456035,138.40357473568173,398.4483013719782,96.66994580992176
2020-07,549.6023679351005,238.6559137331247,139.64543059096712,409.95693734413334,99.01048314215758
2020-08,445.3223284828581,243.68742719126152,127.734273937448,317.5880545454101,115.95315325381353
2020-09,376.062437271162,247.0124725379513,107.05898190950748,269.0034553616546,139.95349062844383
2020-10,167.11158202396734,271.6116990489241,80.0894493764806,87.02213264748671,191.5222496724435
2020-11,115.45893916658429,278.44648379705984,60.406045241458706,55.052893925125574,218.0404385556011
2020-12,75.36793363103769,298.89389449798904,47.65208467690507,27.71584895413262,251.24180982108396
