month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2015-01,106.1166135533272,312.14321876891137,60.6706986753732,45.44591487795399,251.47252009353815
2015-02,144.694119864992,277.07633356299186,72.66305863893164,72.03106122606034,204.4132749240602
2015-03,298.4294836812352,292.52320495717817,110.03840222830705,188.39108145292812,182.4848027288711
2015-04,466.9188924183672,263.4453631212835,129.53995277861537,337.3789396397518,133.90541034266815
2015-05,526.3035746321,252.3958519655494,140.17858133775704,386.1249932943429,112.21727062779236
2015-06,575.898159262968,229.35195662839865,139.25246959621717,436.6456896667508,90.0994870321815
2015-07,506.3694203782016,231.3346141299157,136.61194602475214,369.7574743534494,94.72266810516356
2015-08,394.3868477335936,237.15962353248773,119.35061777254518,275.0362299610484,117.80900575994255
2015-09,341.6648134477592,243.40014100367145,106.91607671568956,234.74873673206963,136.4840642879819
2015-10,202.8071342725088,271.89508457609253,84.36596469619674,118.44116957631203,187.5291198798958
2015-11,94.16389228419679,282.7533273130294,58.43501895813651,35.72887332606028,224.31830835489288
2015-12,68.89195710317759,306.5212804404903,47.425469153893204,21.46648794928439,259.09581128659704
