month,load_kwh,grid_import_kwh,exported_kwh,baseline_bill_tariffA_gbp,bill_with_pv_tariffA_gbp,savings_tariffA_gbp,load_peak_kwh,load_offpeak_kwh,import_peak_kwh,import_offpeak_kwh,baseline_bill_tariffB_gbp,bill_with_pv_tariffB_gbp,savings_tariffB_gbp,baseline_bill_gbp,bill_with_pv_gbp,savings_gbp
2019-01,311.8442758861842,263.6371638855338,20.892852290719972,87.3163972481316,70.68447804434149,16.631919203790105,55.77600581551211,256.0682700706721,55.51971987150171,208.1174440140321,75.8566214509771,62.083811794504655,13.772809656472447,75.8566214509771,62.083811794504655,13.772809656472447
2019-02,277.0806173779981,206.0877827256854,91.77513038277927,77.58257286583948,43.938309605775025,33.644263260064456,49.465348930856464,227.61526844714166,42.14660187839638,163.94118084728902,67.38823118417092,37.05210088642542,30.3361302977455,67.38823118417092,37.05210088642542,30.3361302977455
2019-03,292.80160028079484,190.03042471948078,145.6550818194987,81.98444807862256,31.360256648529823,50.624191430092736,52.1462502301823,240.65535005061255,33.49291203466802,156.53751268481275,71.19536459169856,24.31250972986781,46.88285486183075,71.19536459169856,24.31250972986781,46.88285486183075
2019-04,263.4346859415757,134.9793019414559,329.69096489652736,73.7617120636412,-11.65944019087145,85.42115225451265,47.093942261846635,216.3407436797291,17.168275372295096,117.8110265691608,64.07784340118673,-17.526322508960444,81.60416591014717,64.07784340118673,-17.526322508960444,81.60416591014717
2019-05,251.91787582017975,112.18594324144779,345.3064462368848,70.53700522965033,-20.38390282792734,90.92090805757768,45.05622289558739,206.86165292459236,9.522835125503294,102.6631081159445,61.279241656865906,-25.877090856098782,87.1563325129647,61.279241656865906,-25.877090856098782,87.1563325129647
2019-06,229.81347882494504,99.68219028747909,316.70730660062685,64.34777407098461,-19.59508270959988,83.94285678058449,40.89747340116807,188.91600542377697,10.800885433393315,88.88130485408578,55.87563688363976,-24.171899020507492,80.04753590414725,55.87563688363976,-24.171899020507492,80.04753590414725
2019-07,231.33450789806614,99.59917360984447,321.0160835174335,64.77366221145853,-20.264643916858574,85.0383061283171,41.37674767916777,189.95776021889836,7.101200818387365,92.49797279145712,56.27256893586636,-25.317438227058883,81.59000716292525,56.27256893586636,-25.317438227058883,81.59000716292525
2019-08,236.93248314956088,113.37474603640607,269.3460993991684,66.34109528187706,-8.656986019681558,74.99808130155861,42.28641157467988,194.64607157488098,10.43498508765376,102.9397609487523,57.62237979761177,-14.102922720470936,71.72530251808271,57.62237979761177,-14.102922720470936,71.72530251808271
2019-09,243.64341908685145,143.57787216976453,173.80681223390425,68.22015734431841,14.130782372448436,54.08937497186997,43.45455686252177,200.18886222432968,24.35659040175317,119.22128176801137,59.250644591235144,8.682466794490473,50.56817779674467,59.250644591235144,8.682466794490473,50.56817779674467
2019-10,271.6344970725627,191.7127515667481,90.67340925073181,76.05765918031756,40.0785590510797,35.97910012923786,48.584441555374596,223.0500555171881,42.290901387838154,149.42185017890995,66.0755667581625,34.07361113749377,32.001955620668724,66.0755667581625,34.07361113749377,32.001955620668724
2019-11,282.7469682367524,231.83668684127124,26.315081228139608,79.16915110629068,60.96701013133501,18.202140974955675,50.431748557031796,232.31521967972063,50.3311264770702,181.50556036420105,68.76046032449966,53.599855362877854,15.160604961621807,68.76046032449966,53.599855362877854,15.160604961621807
2019-12,306.8155904245287,263.6791640167224,17.002878439316103,85.90836531886804,71.27973415878486,14.628631160083174,54.75858446923815,252.05700595529055,54.75858446923815,208.92057954748424,74.61804587439727,62.57760029878247,12.040445575614797,74.61804587439727,62.57760029878247,12.040445575614797
