month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2019-01,98.61483200435711,303.78740956057163,55.83207007784954,42.782761926507575,247.9553394827221
2019-02,182.03535409091424,270.7610090517176,74.20938066624697,107.82597342466725,196.55162838547068
2019-03,268.11118959499964,288.65807775658834,105.63564452736537,162.4755450676343,183.022433229223
2019-04,408.3802401459398,263.32185275670315,128.5160372139285,279.8642029320113,134.80581554277464
2019-05,491.18886111904027,255.8472763856556,139.93217684360968,351.25668427543064,115.91509954204591
2019-06,471.77079111950013,236.52993582539975,135.67827684213609,336.09251427736405,100.85165898326368
2019-07,501.62238864921403,239.38092101827877,137.45665547742527,364.1657331717888,101.92426554085351
2019-08,456.3656948615529,243.9114565722857,127.63128431755943,328.7344105439935,116.28017225472624
2019-09,318.5205780413289,247.54141273998144,105.55728839787048,212.96328964345847,141.98412434211096
2019-10,170.83355571740927,271.62024869097564,82.22596613203397,88.6075895853753,189.39428255894165
2019-11,108.46922039086655,278.82360809617444,59.60915070868258,48.86006968218397,219.21445738749185
2019-12,82.12176384596543,299.816791545668,49.239351362062706,32.882412483902726,250.57744018360532
