month,load_kwh,grid_import_kwh,exported_kwh,baseline_bill_tariffA_gbp,bill_with_pv_tariffA_gbp,savings_tariffA_gbp,load_peak_kwh,load_offpeak_kwh,import_peak_kwh,import_offpeak_kwh,baseline_bill_tariffB_gbp,bill_with_pv_tariffB_gbp,savings_tariffB_gbp,baseline_bill_tariffC_gbp,bill_with_pv_tariffC_gbp,savings_tariffC_gbp,baseline_bill_gbp,bill_with_pv_gbp,savings_gbp
2020-01,297.52967953156406,248.14285815608005,29.151572245283155,83.30831026883794,65.10726444690995,18.20104582192799,53.21580494163325,244.31387458993083,52.925423914991654,195.2174342410884,72.37458413935641,57.09899806649405,15.275586072862367,83.30831026883794,68.02242167143827,15.285888597399676,,,
2020-02,275.3240487086993,202.33668169840698,86.44462543640688,77.09073363843581,43.687577060092934,33.40315657834287,49.07174002096368,226.25230868773562,41.7331499032085,160.60353179519848,66.95061691863913,36.97268564560561,29.97793127303352,77.09073363843581,52.33203960373362,24.758694034702188,,,
2020-03,284.37695362162015,175.1912792410294,212.12077806353727,79.62554701405365,17.235441477957647,62.390105536096,50.75412619037414,233.622827431246,31.020714798808605,144.1705644422208,69.16096620150506,10.756657647340997,58.40430855416406,79.62554701405365,38.44751928431137,41.17802772974228,,,
2020-04,262.0256357745785,132.0532409626499,361.192634701125,73.367178016882,-17.203987735626768,90.57116575250876,46.83814282310382,215.1874929514747,15.306949512912224,116.74629144973768,63.73459843741077,-23.137278756707175,86.87187719411794,73.367178016882,18.915275734485725,54.45190228239627,,,
2020-05,257.7897726337067,105.85982344447727,495.9427796950666,72.18113633743789,-44.75066638980634,116.93180272724423,45.91027193176777,211.87950070193892,5.34567012087324,100.51415332360403,62.68208533054528,-50.40731868076146,113.08940401130674,72.18113633743789,4.843611579700308,67.33752475773758,,,
2020-06,239.5867933753995,98.93149581105607,364.16091687936614,67.08430214511186,-26.92331870480922,94.00762084992108,42.828936791359524,196.75785658403998,7.494899386395845,91.43659642466022,58.27685632546463,-31.884871533241128,90.16172785870576,67.08430214511186,9.492772983127395,57.59152916198447,,,
2020-07,244.01681377392669,104.2046272328451,341.219429589008,68.32470785669948,-22.005618813154566,90.33032666985405,43.644977777468654,200.37183599645803,9.138562791052054,95.06606444179305,59.357546141334794,-27.069883284288508,86.4274294256233,68.32470785669948,12.116324145746233,56.20838371095324,,,
2020-08,248.29672394402866,121.51057481941221,274.98130438733796,69.52308270432803,-7.224234708665271,76.74731741299331,44.21924997161297,204.0774739724157,14.55028098201658,106.96029383739564,60.37378176399599,-12.623332670167851,72.99711443416385,69.52308270432803,20.273895730068524,49.24918697425951,,,
2020-09,249.53630677863197,142.37484302673676,240.56949487771598,69.87016589801696,3.7795318158288964,66.09063408218807,44.60575804344444,204.93054873518756,25.515089796808,116.85975322992877,60.69673603694682,-1.445997092190268,62.142733129137085,69.87016589801696,27.836481303600493,42.03368459441647,,,
2020-10,271.524445403165,192.66310485629293,73.70560845367197,76.0268447128862,42.88982809171124,33.137016621174965,48.46028815589582,223.06415724726915,42.717362947976376,149.94574190831656,66.03521544896275,36.88329898357057,29.151916465392176,76.0268447128862,50.26038893707843,25.76645577580777,,,
2020-11,275.7757440652309,222.03546078352556,46.322892654621796,77.21720833826467,55.22149512119389,21.99571321707078,49.18622638834464,226.58951767688632,49.10847436795024,172.92698641557533,67.06487312483561,48.28346914201588,18.781403982819732,77.21720833826467,59.85378438665607,17.363423951608596,,,
2020-12,294.2170823894483,250.35247421587738,22.29403541528585,82.38078306904553,66.75458746815279,15.626195600892743,52.623355461875484,241.59372692757285,52.623355461875484,197.7291187540019,71.56879433572244,58.574475225243965,12.994319110478479,82.38078306904553,68.98399100968138,13.39679205936416,,,
