month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01,53.9628383412552,310.8768438694752,39.405034884014604,14.557803457240595,271.47180898546054
2020-02,131.9196154214424,286.1080358987935,66.35716718449355,65.56244823694884,219.75086871429994
2020-03,255.228916119948,291.01945579705,105.5351753062553,149.6937408136927,185.48428049079467
2020-04,425.7139787668,261.9592621399922,128.0494351122252,297.6645436545748,133.909827027767
2020-05,571.9260601067248,251.01234326038045,146.75656739977651,425.1694927069483,104.25577586060395
2020-06,444.4333948142568,228.30426913759666,131.7321371963425,312.7012576179143,96.57213194125416
2020-07,492.2363270687112,230.61534505537807,136.74914764867134,355.48717942003987,93.86619740670673
2020-08,362.4949569243472,236.7741538948629,121.09213271693224,241.40282420741497,115.68202117793066
2020-09,270.7798208978456,243.2270890409657,99.38338931905558,171.39643157879001,143.8436997219101
2020-10,146.0887397431896,271.7425667998187,73.56623434352315,72.52250539966644,198.17633245629557
2020-11,76.81800635685039,282.452204118408,46.84357603115662,29.97443032569377,235.6086280872514
2020-12,39.9759952705568,305.9084309872785,32.227188614024065,7.748806656532736,273.68124237325446
