month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2022-01,47.8577779705472,312.4131143158774,36.42897598958702,11.428801980960177,275.9841383262904
2022-02,108.4593598238024,277.046671157078,56.55022645062848,51.909133373173916,220.49644470644952
2022-03,297.0460082185768,292.2158842512764,103.45619381492881,193.58981440364798,188.75969043634757
2022-04,381.5391683645736,263.68348675024316,125.11742770963795,256.42174065493566,138.5660590406052
2022-05,422.7058011434704,252.13182073615928,140.05839269051302,282.6474084529574,112.07342804564628
2022-06,477.2448586250576,229.33588537885143,138.38206711465395,338.8627915104036,90.95381826419748
2022-07,472.335584506528,231.75976314400444,137.88497474920882,334.45060975731917,93.87478839479563
2022-08,411.8288042651024,236.6848222929343,124.18622127043614,287.64258299466627,112.49860102249816
2022-09,274.925956660956,243.36817510894076,98.72923124389382,176.19672541706217,144.63894386504694
2022-10,133.793538259248,272.12828647765,69.89145805697736,63.902080202270646,202.23682842067265
2022-11,67.48938914109999,282.4458804368819,45.13941507016018,22.349974070939815,237.30646536672174
2022-12,42.1342822190328,306.78620995010266,32.951066233551295,9.183215985481501,273.8351437165514
