timestamp,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2022-01-01 00:11:00+00:00,0.0,0.23276602725621853,0.0,0.0,0.23276602725621853
2022-01-01 01:11:00+00:00,0.0,0.1995137376481873,0.0,0.0,0.1995137376481873
2022-01-01 02:11:00+00:00,0.0,0.18288759284417172,0.0,0.0,0.18288759284417172
2022-01-01 03:11:00+00:00,0.0,0.18288759284417172,0.0,0.0,0.18288759284417172
2022-01-01 04:11:00+00:00,0.0,0.1995137376481873,0.0,0.0,0.1995137376481873
2022-01-01 05:11:00+00:00,0.0,0.2693435458250529,0.0,0.0,0.2693435458250529
2022-01-01 06:11:00+00:00,0.0,0.38240133049235897,0.0,0.0,0.38240133049235897
2022-01-01 07:11:00+00:00,0.0,0.5253861758068933,0.0,0.0,0.5253861758068933
2022-01-01 08:11:00+00:00,0.0,0.57526461021894,0.0,0.0,0.57526461021894
2022-01-01 09:11:00+00:00,0.0036053264,0.5054348020420745,0.0036053264,0.0,0.5018294756420745
2022-01-01 10:11:00+00:00,0.1403286768,0.4455806807476183,0.1403286768,0.0,0.3052520039476183
2022-01-01 11:11:00+00:00,0.09008500000000001,0.4090031621787839,0.09008500000000001,0.0,0.3189181621787839
2022-01-01 12:11:00+00:00,0.4180076784,0.3923770173747684,0.3923770173747684,0.02563066102523165,0.0
2022-01-01 13:11:00+00:00,0.4430434534696,0.3923770173747684,0.3923770173747684,0.050666436094831624,0.0
2022-01-01 14:11:00+00:00,0.33718361382160006,0.3990274752963746,0.33718361382160006,0.0,0.06184386147477455
2022-01-01 15:11:00+00:00,0.007257849600000001,0.4090031621787839,0.007257849600000001,0.0,0.40174531257878393
2022-01-01 16:11:00+00:00,0.0,0.4489059097084214,0.0,0.0,0.4489059097084214
2022-01-01 17:11:00+00:00,0.0,0.5918907550229556,0.0,0.0,0.5918907550229556
2022-01-01 18:11:00+00:00,0.0,0.7049485396902618,0.0,0.0,0.7049485396902618
2022-01-01 19:11:00+00:00,0.0,0.7548269741023086,0.0,0.0,0.7548269741023086
2022-01-01 20:11:00+00:00,0.0,0.7049485396902618,0.0,0.0,0.7049485396902618
2022-01-01 21:11:00+00:00,0.0,0.5918907550229556,0.0,0.0,0.5918907550229556
2022-01-01 22:11:00+00:00,0.0,0.4489059097084214,0.0,0.0,0.4489059097084214
2022-01-01 23:11:00+00:00,0.0,0.3092462933546903,0.0,0.0,0.3092462933546903
2022-01-02 00:11:00+00:00,0.0,0.2328866829704842,0.0,0.0,0.2328866829704842
2022-01-02 01:11:00+00:00,0.0,0.19961715683184358,0.0,0.0,0.19961715683184358
2022-01-02 02:11:00+00:00,0.0,0.18298239376252332,0.0,0.0,0.18298239376252332
2022-01-02 03:11:00+00:00,0.0,0.18298239376252332,0.0,0.0,0.18298239376252332
2022-01-02 04:11:00+00:00,0.0,0.19961715683184358,0.0,0.0,0.19961715683184358
2022-01-02 05:11:00+00:00,0.0,0.26948316172298886,0.0,0.0,0.26948316172298886
2022-01-02 06:11:00+00:00,0.0,0.3825995505943669,0.0,0.0,0.3825995505943669
2022-01-02 07:11:00+00:00,0.0,0.5256585129905215,0.0,0.0,0.5256585129905215
2022-01-02 08:11:00+00:00,0.0,0.5755628021984823,0.0,0.0,0.5755628021984823
2022-01-02 09:11:00+00:00,0.007356921600000001,0.5056967973073371,0.007356921600000001,0.0,0.49833987570733707
2022-01-02 10:11:00+00:00,0.1720242864,0.445811650257784,0.1720242864,0.0,0.273787363857784
2022-01-02 11:11:00+00:00,0.0769052592,0.40921517150527936,0.0769052592,0.0,0.33230991230527934
2022-01-02 12:11:00+00:00,0.24400917600000002,0.3925804084359591,0.24400917600000002,0.0,0.14857123243595907
2022-01-02 13:11:00+00:00,0.14591104,0.3925804084359591,0.14591104,0.0,0.2466693684359591
2022-01-02 14:11:00+00:00,0.06587297279999998,0.39923431366368717,0.06587297279999998,0.0,0.3333613408636872
2022-01-02 15:11:00+00:00,0.0738159214824,0.40921517150527936,0.0738159214824,0.0,0.33539925002287935
2022-01-02 16:11:00+00:00,0.0,0.44913860287164814,0.0,0.0,0.44913860287164814
2022-01-02 17:11:00+00:00,0.0,0.5921975652678027,0.0,0.0,0.5921975652678027
2022-01-02 18:11:00+00:00,0.0,0.7053139541391807,0.0,0.0,0.7053139541391807
