month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2023-01,101.376819159424,312.1140247149178,58.66371903620002,42.713100123223974,253.45030567871774
2023-02,152.5462852302816,277.04943990955434,72.55004630874893,79.99623892153267,204.4993936008054
2023-03,236.9862556514864,292.2204608889732,100.39143122539576,136.5948244260906,191.82902966357744
2023-04,417.0907287204296,263.9415654358973,127.23669427119005,289.8540344492395,136.70487116470727
2023-05,543.2195177162504,251.88500141920753,143.09138625759502,400.1281314586554,108.79361516161248
2023-06,610.9997181281632,229.33870095541405,139.63748222741688,471.3622359007463,89.70121872799716
2023-07,481.2807756377976,231.75984541550315,135.51395189790517,345.7668237398924,96.24589351759798
2023-08,468.6487284383,236.6821269758896,124.97344422593825,343.67528421236176,111.70868274995132
2023-09,343.186525820088,243.6142639439772,105.64859649688361,237.53792932320437,137.96566744709358
2023-10,203.9811733949152,271.871047123664,83.76331318273152,120.21786021218367,188.10773394093252
2023-11,112.4205615225536,282.44127198463855,59.77185961638788,52.64870190616572,222.66941236825065
2023-12,57.1282863146536,307.08225123236326,43.13741697670163,13.990869337951969,263.94483425566165
