month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2023-01,99.5033392725304,312.1140247149178,56.88855297271672,42.61478629981368,255.22547174220102
2023-02,148.383586681488,277.04943990955434,69.7874145047027,78.5961721767853,207.26202540485164
2023-03,252.5789355221304,292.2204608889732,101.57742372905558,151.0015117930748,190.64303715991764
2023-04,401.7736418073152,263.9415654358973,127.13773470989673,274.63590709741845,136.8038307260006
2023-05,563.7009614911888,251.88500141920753,146.11150601957542,417.5894554716134,105.77349539963211
2023-06,595.5422527008016,229.33870095541405,136.79162616691053,458.7506265338911,92.54707478850351
2023-07,457.00787684824877,231.75984541550315,136.1564704753213,320.8514063729275,95.60337494018185
2023-08,449.348243753752,236.6821269758896,126.61304229254154,322.73520146121047,110.06908468334804
2023-09,305.8147743993112,243.6142639439772,102.00044311870842,203.81433128060277,141.6138208252688
2023-10,192.54822588689998,271.871047123664,82.40252313011793,110.14570275678207,189.4685239935461
2023-11,107.3432097552512,282.44127198463855,56.974379013814875,50.36883074143632,225.46689297082366
2023-12,50.9154599847488,307.08225123236326,39.73912892248017,11.176331062268629,267.3431223098831
