month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01,86.83116897007599,310.8768438694752,52.8471741876641,33.9839947824119,258.0296696818111
2020-02,149.4853729509536,286.1080358987935,73.37689287251338,76.10848007844021,212.73114302628008
2020-03,312.8150183557512,291.01945579705,113.25813408431914,199.55688427143207,177.76132171273085
2020-04,493.08098966352236,261.9592621399922,131.05949450340452,362.02149516011787,130.89976763658768
2020-05,658.80517367236,251.01234326038045,147.73563739571892,511.0695362766411,103.27670586466154
2020-06,512.4018824779664,228.30426913759666,134.59918446261287,377.80269801535354,93.70508467498381
2020-07,523.4812787347528,230.61534505537807,135.17970828329666,388.30157045145614,95.4356367720814
2020-08,420.10220637125997,236.7741538948629,123.7793286980468,296.3228776732132,112.99482519681611
2020-09,358.2889135221584,243.2270890409657,105.41589105031439,252.873022471844,137.81119799065132
2020-10,178.3734111534104,271.7425667998187,81.199432618209,97.1739785352014,190.54313418160973
2020-11,108.9361205730832,282.452204118408,59.41090665393747,49.525213919145735,223.04129746447055
2020-12,72.5573085770792,305.9084309872785,47.39326636208717,25.16404221499203,258.51516462519135
