month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01,77.90255113104767,302.86885655360675,50.36217533409717,27.54037579695051,252.50668121950955
2020-02,151.28981512089214,279.6378950923698,72.34322606295387,78.94658905793828,207.2946690294159
2020-03,318.96217673409024,287.0341094103735,107.36311411222103,211.5990626218692,179.67099529815252
2020-04,480.69272733400607,261.99908477275665,129.44819637916999,351.2445309548361,132.55088839358663
2020-05,659.9038153832533,255.07864281897903,152.7876950985112,507.1161202847422,102.29094772046784
2020-06,489.97405257472604,235.07352054560351,135.51896901223935,354.45508356248666,99.55455153336415
2020-07,491.2988582570496,238.65591373312472,138.34200920799012,352.95684904905943,100.31390452513459
2020-08,389.7801552014352,243.68742719126155,124.5356936103332,265.244461591102,119.15173358092834
2020-09,333.3669508537555,247.0124725379513,107.02924079216139,226.33771006159412,139.98323174578994
2020-10,157.9729535088739,271.61169904892415,79.26795132566153,78.70500218321239,192.34374772326262
2020-11,105.70160046911423,278.44648379705984,55.4136378171831,50.28796265193113,223.03284597987673
2020-12,71.27268874776384,298.89389449798904,46.54591519451742,24.726773553246417,252.34797930347162
